N_Pergunta,Pergunta,Recurso,Linha,rank,cosine_similarity,euclidean_distances
Q999,who does chris humphries play for,Barry_Humphries,"For his delivery of dadaist and absurdist humour to millions, biographer Anne Pender described Humphries in 2010 as not only the most significant theatrical figure of our time … [but] the most significant comedian to emerge since Charlie Chaplin",3,0.9585456848144531,7.381224632263184
Q999,who does chris humphries play for,Kaillie_Humphries,"To date, she is the most successful Canadian bobsledder in history",12,0.9549031853675842,7.6003265380859375
Q999,who does chris humphries play for,Kaillie_Humphries,"Due to her repeat championship, she was named flagbearer for the closing ceremonies at the 2014 Olympic Games together with brakewoman Heather Moyse",10,0.9535700082778931,7.73989200592041
Q999,who does chris humphries play for,Barry_Humphries,"Humphries' other satirical characters include the priapic and inebriated cultural attaché Sir Les Patterson, who has continued to bring worldwide discredit upon Australian arts and culture, while contributing as much to the Australian vernacular as he has borrowed from it; gentle, grandfatherly returned gentleman Sandy Stone; iconoclastic 1960s underground film-maker Martin Agrippa, Paddington socialist academic Neil Singleton; sleazy trade union official Lance Boyle; high-pressure art salesman Morrie O'Connor; and failed tycoon Owen Steele, and archetypal Australian bloke Barry McKenzie",6,0.9505981206893921,7.8694071769714355
Q999,who does chris humphries play for,Barry_Humphries,"He is also a film producer and script writer, a star of London's West End musical theatre, an award-winning writer, and an accomplished landscape painter",2,0.9499785900115967,7.9717559814453125
Q999,who does chris humphries play for,Tom_Waits,"With theatre director Robert Wilson, he produced the musicals The Black Rider and Alice, first performed in Hamburg",47,0.9507157802581787,8.068914413452148
Q999,who does chris humphries play for,Tom_Waits,"He produced the soundtrack for Francis Ford Coppola's film One from the Heart (1981), and subsequently made cameo appearances in several Coppola films",42,0.948491096496582,8.083381652832031
Q999,who does chris humphries play for,Barry_Humphries,"Humphries' characters have brought him international renown, and he also appeared in numerous stage productions, films, and television shows",4,0.9475017189979553,8.095322608947754
Q999,who does chris humphries play for,Kaillie_Humphries,Humphries is also the two-time defending overall World Cup champion,11,0.9489172697067261,8.155172348022461
Q999,who does chris humphries play for,Barry_Humphries,He is best known for writing and playing his on-stage and television alter egos Dame Edna Everage and Sir Les Patterson,1,0.9465664029121399,8.19038200378418
