N_Pergunta,Pergunta,Recurso,Linha,rank,cosine_similarity,euclidean_distances
Q999,who does chris humphries play for,Barry_Humphries,"Humphries' characters have brought him international renown, and he also appeared in numerous stage productions, films, and television shows",4,0.7480878829956055,8.361613273620605
Q999,who does chris humphries play for,Barry_Humphries,"Humphries' other satirical characters include the priapic and inebriated cultural attaché Sir Les Patterson, who has continued to bring worldwide discredit upon Australian arts and culture, while contributing as much to the Australian vernacular as he has borrowed from it; gentle, grandfatherly returned gentleman Sandy Stone; iconoclastic 1960s underground film-maker Martin Agrippa, Paddington socialist academic Neil Singleton; sleazy trade union official Lance Boyle; high-pressure art salesman Morrie O'Connor; and failed tycoon Owen Steele, and archetypal Australian bloke Barry McKenzie",6,0.7448168396949768,8.465389251708984
Q999,who does chris humphries play for,Kaillie_Humphries,"In 2019, she switched to representing the United States because of abuse and harassment that she claims she faced from the Canadian bobsled federation",13,0.7181156277656555,8.57598876953125
Q999,who does chris humphries play for,Kaillie_Humphries,"Humphries received the 2014 Lou Marsh Award, given annually to Canada's top athlete",16,0.7309536337852478,8.591777801513672
Q999,who does chris humphries play for,Barry_Humphries,He is best known for writing and playing his on-stage and television alter egos Dame Edna Everage and Sir Les Patterson,1,0.7457312345504761,8.59348201751709
Q999,who does chris humphries play for,Kaillie_Humphries,"Due to her repeat championship, she was named flagbearer for the closing ceremonies at the 2014 Olympic Games together with brakewoman Heather Moyse",10,0.7248609662055969,8.649439811706543
Q999,who does chris humphries play for,Barry_Humphries,"For his delivery of dadaist and absurdist humour to millions, biographer Anne Pender described Humphries in 2010 as not only the most significant theatrical figure of our time … [but] the most significant comedian to emerge since Charlie Chaplin",3,0.729645311832428,8.66913890838623
Q999,who does chris humphries play for,Kaillie_Humphries,"To date, she is the most successful Canadian bobsledder in history",12,0.6997997164726257,8.705061912536621
Q999,who does chris humphries play for,Kaillie_Humphries,"Representing Canada, Humphries is a two-time Olympic champion in the two-woman (2010, 2014), and is the 2018 Olympic bronze medalist with brakeman Phylicia George",8,0.7177228927612305,9.090950965881348
Q999,who does chris humphries play for,Kaillie_Humphries,Humphries is also the two-time defending overall World Cup champion,11,0.744983434677124,9.106131553649902
Q999,who does chris humphries play for,Kaillie_Humphries,"With her victory in 2014, she became the first female bobsledder to defend her Olympic title",9,0.6891956329345703,9.171669960021973
Q999,who does chris humphries play for,Kaillie_Humphries,"In 2014, Humphries and Elana Meyers became the first women to pilot a mixed-gender team in the first international four-man bobsleigh competition to allow women to compete with/against men",14,0.6968511939048767,9.271897315979004
Q999,who does chris humphries play for,Barry_Humphries,"He is also a film producer and script writer, a star of London's West End musical theatre, an award-winning writer, and an accomplished landscape painter",2,0.7196246385574341,9.3052978515625
Q999,who does chris humphries play for,Barry_Humphries,"Originally conceived as a dowdy Moonee Ponds housewife who caricatured Australian suburban complacency and insularity, Dame Edna Everage has evolved over four decades to become a satire of stardom – a gaudily dressed, acid-tongued, egomaniacal, internationally fêted Housewife Gigastar",5,0.7060865163803101,9.318638801574707
Q999,who does chris humphries play for,Barry_Humphries,"John Barry Humphries AO CBE (born 17 February 1934) is an Australian comedian, actor, satirist, artist, and author",0,0.6507977247238159,9.545088768005371
Q999,who does chris humphries play for,Tom_Waits,"He worked primarily in jazz during the 1970s, but his music since the 1980s has reflected greater influence from blues, rock, vaudeville, and experimental genres",36,0.6441428661346436,9.545513153076172
Q999,who does chris humphries play for,Nick_Drake,. Nicholas Rodney Drake (19 June 1948 – 25 November 1974) was an English singer-songwriter and musician known for his acoustic guitar-based songs,86,0.6570653915405273,9.560320854187012
Q999,who does chris humphries play for,Kaillie_Humphries,"As of the end of the 2013–14 World Cup season, Humphries has won 28 Fédération Internationale de Bobsleigh et de Tobogganing (FIBT) World Cup medals, 7 FIBT World Championships medals, and 3 Olympic Games medals",15,0.6793125867843628,9.610126495361328
Q999,who does chris humphries play for,Super_Bowl_XXIX,"With Young at the helm, and a defense consisting of several veteran free agents who joined the team during the previous offseason, San Francisco finished the regular season with a league-best 13–3 record, and led the league in total points scored (505)",60,0.617524266242981,9.611398696899414
Q999,who does chris humphries play for,Kaillie_Humphries,"On January 9, 2016, Humphries became the first woman to drive an all-female team against men in a four-person World Cup bobsled race; her teammates were Cynthia Appiah, Genevieve Thibault and Melissa Lotholz",17,0.6331799626350403,9.614777565002441
Q999,who does chris humphries play for,Tom_Waits,". Thomas Alan Waits (born December 7, 1949) is an American singer, songwriter, musician, composer, and actor",34,0.6067476868629456,9.691816329956055
Q999,who does chris humphries play for,Tom_Waits,"He relocated to Los Angeles in 1972, where he worked as a songwriter before signing a recording contract with Asylum Records",39,0.6269621253013611,9.790610313415527
Q999,who does chris humphries play for,Tom_Waits,"In the late 1990s, he switched to the record label ANTI-, which released Blood Money (2002), Alice (2002), Real Gone (2004), and Bad as Me (2011)",49,0.6305088996887207,9.822240829467773
Q999,who does chris humphries play for,Kaillie_Humphries,". Kaillie Humphries (born Kaillie Simundson September 4, 1985) is a Canadian-born bobsledder who currently represents the United States",7,0.663974404335022,9.851372718811035
Q999,who does chris humphries play for,Tom_Waits,"Having returned to California in the 1990s, his albums Bone Machine (1992), The Black Rider (1993), and Mule Variations (1999) earned him increasing critical acclaim and multiple Grammy Awards",48,0.6324668526649475,9.87384033203125
Q999,who does chris humphries play for,Nick_Drake,Whether his death was an accident or suicide has never been resolved,96,0.6565654277801514,9.902517318725586
Q999,who does chris humphries play for,Nick_Drake,"His reluctance to perform live, or be interviewed, contributed to his lack of commercial success",91,0.6611332893371582,9.981950759887695
Q999,who does chris humphries play for,Tom_Waits,"With theatre director Robert Wilson, he produced the musicals The Black Rider and Alice, first performed in Hamburg",47,0.6250118017196655,9.992705345153809
Q999,who does chris humphries play for,Nick_Drake,"On 25 November 1974, Drake died from an overdose of amitriptyline, a prescribed antidepressant; he was 26 years old",95,0.5892124176025391,10.004728317260742
Q999,who does chris humphries play for,Tom_Waits,"In 2011, he was inducted into the Rock and Roll Hall of Fame",51,0.5970320701599121,10.02445125579834
Q999,who does chris humphries play for,Tom_Waits,"With Brennan's encouragement and frequent collaboration, he pursued a more experimental and eclectic musical aesthetic influenced by the work of Harry Partch and Captain Beefheart",44,0.6223016381263733,10.027764320373535
Q999,who does chris humphries play for,Kim_Kardashian,She has also become more politically active by lobbying president Donald Trump for prison reform and lobbying for Alice Marie Johnson to be granted clemency,29,0.6195197701454163,10.036498069763184
Q999,who does chris humphries play for,Tom_Waits,"In 1980, Waits married Kathleen Brennan, split from his manager and record label, and moved to New York City",43,0.5892128944396973,10.055438995361328
Q999,who does chris humphries play for,Kim_Kardashian,"She has released a variety of products tied to her name, including the 2014 mobile game Kim Kardashian: Hollywood, a variety of clothing and products, the 2015 photo book Selfish and her eponymous personal app",25,0.613375186920166,10.086578369140625
Q999,who does chris humphries play for,Broadchurch_(series_3),"The eight-episode series follows the rape of a local woman in the fictional, close-knit coastal town of Broadchurch in Dorset, England",19,0.6007055640220642,10.113788604736328
Q999,who does chris humphries play for,Tom_Waits,"He produced the soundtrack for Francis Ford Coppola's film One from the Heart (1981), and subsequently made cameo appearances in several Coppola films",42,0.602816104888916,10.116567611694336
Q999,who does chris humphries play for,Nick_Drake,"M.  In 1985, The Dream Academy reached the UK and US charts with Life in a Northern Town, a song written for and dedicated to Drake",99,0.6036072969436646,10.21780776977539
Q999,who does chris humphries play for,Broadchurch_(series_3),The return features series stars David Tennant and Olivia Colman and many other actors from the first two series,20,0.627821683883667,10.229647636413574
Q999,who does chris humphries play for,Broadchurch_(series_3),. This third and final series of the British crime drama Broadchurch began airing on the ITV broadcast network in the United Kingdom on 27 February 2017 and is set three years after the events of series two,18,0.6211918592453003,10.235637664794922
Q999,who does chris humphries play for,Tom_Waits,"He continued appearing in films, notably starring in Jim Jarmusch's Down by Law (1986), and also made theatrical appearances",46,0.6132811903953552,10.23658275604248
Q999,who does chris humphries play for,Tom_Waits,"In 2015, he was ranked at No",52,0.5940039157867432,10.299935340881348
